Session 3 - Cabin Act Sorting 2026 - A
,Monday,,,,,Tuesday,,,,,Wednesday,,,,,Thursday,,,,,Friday

,Materials,Poolnoodles (self collected),,,,Materials,"Canoes x2, water guns x6, dodgeball x12",,,,Materials,"7x Paintball guns and masks, 6x cardboard boxes to make shield, 1x camouflage suit for Dat",,,,Materials,"1 Watermelon, 100+ Rubberband, (UNDER VLED) Clean Plastic container with holes",,,,Materials,"6x Scuba Gear, 6x Sandwiches, 2x bags of chips, 6 poolnoodles, inflatables (self collected),"
,Location,Lake - Outer 1,,,,Location,Lake - Outer 2,,,,Location,Madrone Cradle,,,,Location,Dining Area 1,,,,Location,The Falls - Bottom
,Notes,Lifeguard,,,,Notes,"Lifeguard, Canoe Facilitator",,,,Notes,"Dat, Paintball Hero",,,,Notes,,,,,Notes,SCUBA Hero
,HEROES,,,,,HEROES,"LIFEGUARD, Canoe",,,,HEROES,"Dat, Paintball  Setup",,,,HEROES,,,,,HEROES
C3,Activity,Egg Drop Challenge Competition @ Climbing Wall,,,,Activity,Fishing with Magnets,,,,Activity,Rope Swing Tic Tac Toe,,,,Activity,Making Banana Bread,,,,Activity,"Make a cookie bomb, a boat, and blow up the boat"
,Description,(44442) Competition to protect an egg dropped from top of climbing wall.,,,,Description,"(55554) Magnet Fishing in the Lake, try to find weird amazing stuff.",,,,Description,(40234) Do rope swing with the poolnoodle tic tac toe.,,,,Description,(55555) Cook banana bread with protein powder,,,,Description,"(45535) 2 teams, one makea boat and one make a cookie bomb with Randy. They will explode the the boat with the bomb on the lake."
,Materials,"6 eggs (Check PandA), 1x ducktape, 2x white trash bags, 2x boxes of cardboard, Vlurt walkaround to pick stuff",,,,Materials,Magnet Fishing Kit,,,,Materials,The poolnoodle tic tac toe,,,,Materials,"2 cups all-purpose flour, 1 teaspoon baking soda, ¼ teaspoon salt, ¾ cup brown sugar, ½ cup butter, 2 large eggs, beaten, 3-4 ripe bananas, 1 blender",,,,Materials,"4 cardboard boxes, 4 floating foams, 1 long fuse, 1 cookie bomb kit, 1 long p-cord, 2x ducktapes,  2x scissors"
,Location,Climbing Wall,,,,Location,Lake - Swim Area 2,,,,Location,Lake - Swing,,,,Location,Dining Area then Community Kitchen,,,,Location,Lathe
,Notes,Climbing Wall Faci x1,,,,Notes,Magnet Fishing Hero,,,,Notes,"Ropeswing Faci, Lifeguard",,,,Notes,Kitchen Hero,,,,Notes,"Randy, New Smoke Cookie Hero, Media Hero if possible (to KM video)"
,HEROES,"Ground Belay 1st CW, Pole Course On ground",,,,HEROES,Village Heroes,,,,HEROES,LIFEGUARD,,,,HEROES,Village Heroes,,,,HEROES,"Randy, Smoke Bomb"
C4,Activity,Obstacle Course with Cedar 5,,,,Activity,Climbing while blindfolded and attacked,,,,Activity,Henna on Canopy Zipline,,,,Activity,Picnic @ Secret Pool,,,,Activity,Smoke Machine Marco Polo in Lodge
,Description,(55443 Beau) Cedar 4 and Cedar 5 go through a series of Low Ropes Challenges while carrying a watermelon and being timed to decide who can win the right to break others' watermelon to make juices.,,,,Description,(55553 Beau) Climb climbing wall or other climbing structure blindfolded. Could throw balls as well if safe.,,,,Description,(55553 Walter) Climb canopy and have us draw henna on one another. Could be a picnic if possible,,,,Description,(54443 Austin) Having a picnic at secret pool. Could be pizza day but not attached,,,,Description,"(55543 Beau) Smoke the lodge up with fog machines and play games (marco polo, hide n seek, dodgeball)"
,Materials,"2x Timer, 2x big Watermelon, 1x Blender, 1x Bottle of Honey , 1x Big Bowl, 1x Clean Tarp",,,,Materials,"10 Dodeballs, many elastic bands, 1 piece of fabrics big enough to hold a dodgeball",,,,Materials,Henna supplies,,,,Materials,"5 pool floaties, 2 balls that float, picnic sandwiches for 6 people.",,,,Materials,"2 Fog machine (full of fog), 3 long pool noodles, 1 tape roll for pool noodles, 12 dodeballs, 1 speaker, 6 radios"
,Location,Low Ropes 2,,,,Location,Climbing Wall,,,,Location,Canopy Tour,,,,Location,Secret Pool,,,,Location,Lodge
,Notes,Low Ropes Faci x2,,,,Notes,1 Climbing Wall Facilitator,,,,Notes,"2 Canopy Hero, UAD Required",,,,Notes,"Lifeguard, check: no 2 picnic in the same week",,,,Notes,Need to inform Alexis in advance
,HEROES,"Low Ropes, Pole Course On ground",,,,HEROES,"Ground Belay 1st CW, Pole Course On ground",,,,HEROES,"Canopy Tour 1st, Pole Course On ground",,,,HEROES,LIFEGUARD,,,,HEROES,Alexis
C5,Activity,Obstacle Course with Cedar 4,,,,Activity,Protein Snacks,,,,Activity,Battle the Firehose,,,,Activity,Bubble Battle Slip & Slide REST HOUR,,,,Activity,"Make a cookie bomb, a fort, and blow up the fort"
,Description,(44455) same as above,,,,Description,(55555) Cook banana bread with protein powder,,,,Description,"(44455) Use cardboard and tapes to build a shield that can withstand the firehose, and try it out with real firehose. The firehose person is the evil mastermind that they need to take down.",,,,Description,(44555) Wear bubble suits on a slippery tarp to attack each others.,,,,Description,"(45535) 2 teams, one make a fort and one make a cookie bomb with Randy. They will explode the the fort with the bomb on the lake."
,Materials,same as above,,,,Materials,"1 cups of nut powder - from grinding nuts that we have, 2 cups all-purpose flour, 1 teaspoon baking soda, ¼ teaspoon salt, ¾ cup brown sugar, ½ cup butter, 2 large eggs, beaten, 3-4 ripe bananas, 1 blender",,,,Materials,"1 Tarp, 12 boxes of cardboard,",,,,Materials,"6 bubble balls, 1 huge tarp, hose, soap",,,,Materials,"6 cardboard boxes, 1 long fuse, 1 cookie bomb kit, 1 long p-cord, 2x ducktapes,  2x scissors"
,Location,same as above,,,,Location,Dining Area then Community Kitchen,,,,Location,Field - Lake,,,,Location,Slip and Slide,,,,Location,Lathe
