Clinic_Name,Slots,Staff_Requested,RAL_Required,Category
Rope Swing,8,1,4,Water
Swim for Fun,20,1,4,Water
The Falls,10,1,4,Water
Secret Pool,8,1,5,Water
Canopy Tour (DBL),5,2,54,Ropes
Climbing Wall,6,2,53,Ropes
Crow's Nest (DBL),5,2,55,Ropes
Giant's Junkyard,6,2,53,Ropes
Giant Swing,6,2,53,Ropes
Gravity Zip Line,6,2,53,Ropes
Leap of Faith,5,1,5,Ropes
Pole Course Explore Level 1 & 2 (DBL),16,3,543,Ropes
Pole Course Explore Level 2 & 3 (DBL),16,3,543,Ropes
Pole Course Level 1,8,3,543,Ropes
Pole Course Level 2,8,3,543,Ropes
Pole Course Level 3,8,3,543,Ropes
Skyscraper,4,2,53,Ropes
Tree Climbing,5,1,5,Ropes
Lvl. 2 on Ground,0,1,5,Ropes
Agility Course,12,2,44,Agility
Ninja Training Level 1,8,1,1,Agility
Ninja Training Level 2,8,1,1,Agility
Ninja Training Level 3,8,1,1,Agility
Parkour,6,1,4,Agility
Slackline,5,1,3,Agility
Aerial Silks Ground,8,2,53,Circus
Aerial Silks Air,8,2,53,Circus
Aerial Silks Sky,8,2,53,Circus
Aerial Silks Course,8,2,53,Circus
Aerial Bungee,6,2,54,Circus
Circus Whip 1 & 2,5,1,5,Circus
Juggling,6,1,1,Circus
Lyra Beg,8,2,53,Circus
Lyra Int,8,2,53,Circus
Poi,6,1,1,Circus
Staff,6,1,1,Circus
Stilt Walking,5,2,44,Circus
Spin Jam,6,1,1,Circus
Unicycle,6,1,5,Circus
Horseback Riding L1 - Arena,5,2,54,Equestrian
Horseback Riding L1 - Trail,4,2,54,Equestrian
Horseback Riding L2 - Arena,5,2,54,Equestrian
Horseback Riding L2 - Trail,4,2,54,Equestrian
Horseback Riding L3- Arena,5,2,54,Equestrian
Horseback Riding L3 - Trail (DBL),4,2,54,Equestrian
Horseback Riding L4 - Arena,5,2,54,Equestrian
Horse Bubble Bath,6,2,54,Equestrian
Horse Course,5,2,54,Equestrian
Horse Archery,5,2,54,Equestrian
Low Ropes,20,1,5,Other
Acrylic Pouring,6,1,1,Other
Adv. Stilts,6,1,1,Other
Advanced Firemaking,6,1,1,Other
Advanced J. Smith,6,1,1,Other
Advanced Puppet Making (DBL),6,1,1,Other
Canoe,6,1,5,Other
Ceramics - Matcha Sets,6,1,1,Other
D&D Course,6,1,1,Other
Dylan,6,1,1,Other
Fishing,6,1,5,Other
Glass Mosaics,6,1,1,Other
Glass Mosaics Course,6,1,1,Other
Glass Mosaics Course (DBL),6,1,1,Other
Glass Mosaics (DBL),6,1,1,Other
Horse Care,6,1,1,Other
Iron Fortress,4,2,55,Other
Lampworking: Hollow Tubes,4,1,1,Other
Lathe: Bowl Making (DBL),6,1,1,Other
Lathe Bowls,6,1,1,Other
Leatherworking Course,6,1,1,Other
Matcha Set Course,6,1,1,Other
Matcha Set Course (DBL),6,1,1,Other
Ninja Training 1,8,1,1,Other
Ninja Training 2,8,1,1,Other
NO JEWELRYSMITHING AND BLACKSMITHING SAME DAY,6,1,1,Other
Paper Marbling,6,1,1,Other
Pods A/B,4,2,11,Other
Pole Course 1 & 2 Explore (DBL),16,3,111,Other
Pole Course 2 & 3 Explore (DBL),8,3,111,Other
Puppet Making Course,6,1,1,Other
#REF!,6,1,1,Other
Riflery Challenge,6,1,1,Other
Ropes Course,6,1,1,Other
Stained Glass Mirrors,6,1,1,Other
Stuffed Animals,6,1,1,Other
Stuffed Animals Course,6,1,1,Other
Tending to Bread,6,1,1,Other
Tending to Soap,6,1,1,Other
Trampoline Spotter,6,1,1,Other
WILD,6,1,1,Other
